players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,stagnos_trimp
33,20/07/2019,1,227.85895,0,0.6396,22.6174,8.47531,4,420.46
14,20/07/2019,1,199.59058,0,0.53859,16.22981,8.56789,0,439.8
36,20/07/2019,1,259.79611,0,0.69766,25.97437,9.15537,0,466.88
37,20/07/2019,1,264.03558,0,0.58804,28.40568,10.67412,0,0
38,20/07/2019,1,240.86873,0,0.70583,27.22378,11.56672,0,396.9
23,20/07/2019,1,273.50342,0,0.7395,30.54179,11.90811,0,464.9
24,20/07/2019,2,236.17374,0,0.68771,23.75305,11.33185,2,473.55
25,20/07/2019,2,269.14722,3.88,0.64491,28.9304,12.59513,3,446.67
27,20/07/2019,2,268.18265,0,0.69031,28.77289,11.28136,3,417.8
28,20/07/2019,2,274.44565,0,0.78977,28.08895,9.04118,0,657.06
29,20/07/2019,2,283.30945,0,0.71833,33.6306,12.21926,2,482.7
30,20/07/2019,2,260.08472,0,0.6986,26.2652,10.94997,2,611.07
39,20/07/2019,2,262.30099,6.01,0.75631,29.07937,12.7843,0,684.07
32,20/07/2019,2,250.62967,0,0.64271,26.84679,12.9385,2,468.02
34,20/07/2019,2,274.86044,8.32,0.83336,31.72457,11.32887,0,498.88
35,20/07/2019,2,271.21204,0,0.80195,27.83978,11.30758,0,441.49
33,20/07/2019,2,230.50079,0,0.62339,22.0451,9.70531,2,519.7
14,20/07/2019,2,258.66522,0,0.68451,21.48944,8.83427,3,485.08
36,20/07/2019,2,251.76762,0,0.69914,25.02134,10.30477,0,481.65
37,20/07/2019,2,278.25186,0,0.69166,26.02093,8.97423,0,8.77
38,20/07/2019,2,254.72382,0,0.695,26.70405,9.24014,0,456.24
23,20/07/2019,2,283.68167,2.64,0.7264,32.39279,12.89393,0,490.21
24,20/07/2019,3,268.93216,2.13,0.71262,27.40498,11.07237,1,581.89
25,20/07/2019,3,277.65723,0,0.74729,28.13539,11.39703,2,481.54
27,20/07/2019,3,258.21118,0,0.65991,26.82009,10.11795,3,434.26
28,20/07/2019,3,305.53101,2.22,0.7833,29.66711,8.04728,0,601.95
29,20/07/2019,3,275.0332,0,0.67266,32.0025,12.7994,1,470.37
30,20/07/2019,3,237.85791,0,0.7413,24.65976,10.86391,3,644.59
39,20/07/2019,3,284.57202,0,0.77625,30.72201,11.05027,0,663.47
32,20/07/2019,3,267.26715,0.44,0.66492,29.92988,12.03703,3,669.93
34,20/07/2019,3,270.91885,0,0.71553,33.13998,12.28592,0,478.57
35,20/07/2019,3,271.35043,0,0.7211,27.26603,10.78814,0,467.49
33,20/07/2019,3,239.99805,0,0.64439,23.6217,9.92767,5,541.01
14,20/07/2019,3,269.88571,9.98,0.74017,23.62704,9.56207,2,604.9
36,20/07/2019,3,265.1546,0,0.78235,27.65649,10.68237,0,499.93
38,20/07/2019,3,277.71689,0,0.67324,27.03065,11.11703,0,466.32
23,20/07/2019,3,259.04514,2.46,0.7176,30.27052,13.27193,0,511.58
24,20/07/2019,4,298.94287,0,0.67179,28.48357,10.60207,1,578.92
25,20/07/2019,4,273.99579,2.48,0.74864,28.39312,11.32379,5,529.26
27,20/07/2019,4,309.979,3.64,0.69339,31.71658,11.49577,3,531.72
28,20/07/2019,4,260.41406,0,0.68869,25.15353,10.10246,0,674.31
29,20/07/2019,4,308.98804,0,0.6083,32.25705,12.11087,1,498.93
30,20/07/2019,4,286.72354,0.45,0.69743,27.96798,9.96238,7,717.43
39,20/07/2019,4,245.28882,0,0.69027,25.54954,10.59971,0,686.53
32,20/07/2019,4,265.59882,2.78,0.68818,30.95402,12.40645,4,694.9
34,20/07/2019,4,241.13208,4.06,0.73813,29.59875,14.19291,0,517.46
35,20/07/2019,4,255.83505,0,0.70978,24.71473,12.16669,0,487.11
33,20/07/2019,4,266.9502,0,0.74102,26.37594,9.45205,6,620.99
14,20/07/2019,4,305.62744,2.92,0.71041,24.58599,7.65053,1,602.13
36,20/07/2019,4,261.8331,0,0.81851,27.65776,12.33353,0,523.37
38,20/07/2019,4,249.198,1.57,0.65165,25.0551,9.57083,0,508.77
23,20/07/2019,4,269.89572,0,0.67283,28.98448,13.25166,0,503.55
24,22/07/2019,1,254.27229,0,0.70011,24.47184,11.22644,0,562.2
25,22/07/2019,1,257.63297,0,0.77933,29.17968,12.8786,0,479.98
26,22/07/2019,1,258.01212,0,0.76403,28.62379,12.69589,0,522.78
27,22/07/2019,1,255.35442,0,0.68934,26.83823,10.77094,0,373.12
28,22/07/2019,1,265.31604,0,0.83039,26.65681,10.42722,3,717.24
29,22/07/2019,1,274.16107,0,0.68736,31.02413,12.48889,0,530.67
30,22/07/2019,1,226.80063,0,0.77296,26.19983,13.87813,4,684.84
31,22/07/2019,1,243.87152,0,0.6367,23.86305,9.53805,2,0
39,22/07/2019,1,256.5715,2.81,0.85684,29.18962,11.12918,2,530.67
32,22/07/2019,1,262.47012,0,0.57764,30.12533,12.07436,2,670.7
33,22/07/2019,1,253.89856,0,0.68477,26.42313,11.03722,0,502.45
35,22/07/2019,1,247.75194,0,0.77946,28.07288,14.78762,4,489.21
34,22/07/2019,1,226.5916,2.81,0.82143,30.50275,14.43835,3,528.61
14,22/07/2019,1,277.87454,0,0.77715,24.31146,8.37932,0,716.16
36,22/07/2019,1,243.20844,0,0.82498,28.56087,13.79389,3,534.81
37,22/07/2019,1,267.05002,6.07,0.78661,26.89948,9.4183,0,677.98
23,22/07/2019,1,236.76888,0,0.77463,28.3333,14.56128,4,527.06
24,22/07/2019,2,278.3797,0,0.70803,28.18402,12.28945,0,636.72
25,22/07/2019,2,268.27573,0,0.69693,28.25172,11.54453,0,455.64
26,22/07/2019,2,298.64859,5.72,0.89832,37.01799,13.58385,0,496.19
27,22/07/2019,2,262.31281,1.17,0.67764,29.53742,13.05026,0,399.5
28,22/07/2019,2,251.2843,0,0.7501,26.06887,11.95841,5,747.55
29,22/07/2019,2,288.22412,0,0.6464,33.37953,11.49133,0,542.03
30,22/07/2019,2,243.4024,0,0.79548,26.86456,13.09623,4,495.36
31,22/07/2019,2,237.29324,0,0.7139,26.43619,12.95964,4,171.01
39,22/07/2019,2,305.90848,0,0.88113,35.87489,12.36251,3,622.11
32,22/07/2019,2,249.38379,0,0.64789,31.00191,15.20427,5,652.28
33,22/07/2019,2,268.8811,0,0.7399,27.78285,11.521,0,490.86
35,22/07/2019,2,254.67749,0,0.8085,28.89983,13.45792,3,500.05
34,22/07/2019,2,257.17056,0,0.77276,32.28204,13.42951,3,580.58
14,22/07/2019,2,262.11151,0,0.64061,21.14912,9.34545,0,539.56
36,22/07/2019,2,278.70203,6.43,0.79852,30.77271,13.64732,0,592.71
37,22/07/2019,2,257.21686,0,0.72299,25.62461,10.84157,0,452.92
23,22/07/2019,2,284.72574,0,0.76203,33.01084,11.91759,2,577.57
24,22/07/2019,3,302.25204,0,0.73355,30.73138,10.07027,0,652.07
25,22/07/2019,3,292.43848,0.87,0.68592,31.51605,10.34206,0,454.74
26,22/07/2019,3,285.76266,0,0.82997,31.60738,10.14584,0,488.34
27,22/07/2019,3,265.59222,0.96,0.73631,28.88345,10.12635,0,439.89
28,22/07/2019,3,250.91458,0,0.81222,26.81426,9.20152,5,709.94
29,22/07/2019,3,275.03064,0,0.78877,32.98851,11.69129,0,522.07
30,22/07/2019,3,260.1199,0,0.79412,29.05428,13.12672,2,670.94
31,22/07/2019,3,225.10925,0,0.80238,23.6734,9.97563,3,292.18
39,22/07/2019,3,290.10077,4.89,0.82634,32.52935,10.57953,3,628.94
32,22/07/2019,3,257.2771,0,0.65917,29.26557,12.23894,2,595.8
33,22/07/2019,3,275.34207,4.92,0.67277,28.90722,12.17325,0,523.1
35,22/07/2019,3,252.62813,0,0.72716,28.99185,13.1633,4,450.32
34,22/07/2019,3,242.24336,0,0.7667,27.15171,11.72736,3,501.82
14,22/07/2019,3,270.29364,0,0.73897,26.08713,10.16319,0,653.15
36,22/07/2019,3,300.38556,0,0.82528,32.85091,11.11521,2,628.02
37,22/07/2019,3,276.80731,0,0.78472,27.15269,10.6442,0,490.42
