players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,bullet,stagnos_trimp
36,15/07/2019,2,337.51266,11.35,0.64553,31.57657,6.8223,0,1,568.09
17,15/07/2019,2,280.58246,0,0.54367,29.33616,11.35797,3,4,583.31
19,15/07/2019,2,326.21219,5.9,0.64672,33.06743,11.8575,0,0,716.22
18,15/07/2019,2,322.65356,0,0.65992,34.82633,13.53363,0,0,631.82
20,15/07/2019,2,292.21378,5.32,0.64474,33.16862,15.02422,0,0,660.88
37,15/07/2019,2,261.53696,0,0.54011,21.28864,8.79401,0,0,347
38,15/07/2019,2,343.90442,18.46,0.77991,34.98561,9.9577,0,0,576.1
22,15/07/2019,2,289.78891,0,0.58904,31.53875,11.88145,0,0,606.65
23,15/07/2019,2,288.13593,0,0.52914,27.60645,11.97983,1,0,440.13
24,15/07/2019,3,292.98013,0,0.53862,27.07515,9.01559,0,0,423.74
25,15/07/2019,3,358.60193,28.81,0.68471,36.70699,12.44432,0,0,686.88
1,15/07/2019,3,273.31558,0,0.65246,29.74478,13.31291,1,0,829.79
2,15/07/2019,3,266.05814,0,0.65739,29.24471,13.24823,2,1,620.26
3,15/07/2019,3,252.11244,0,0.53521,32.25872,16.1398,1,2,559.14
26,15/07/2019,3,404.69785,0,0.66607,39.01549,10.25685,0,0,567.62
4,15/07/2019,3,327.47998,0,0.61299,41.10685,13.82143,0,0,815.32
5,15/07/2019,3,350.53101,54.95,0.59415,34.01143,11.10161,0,0,342.92
27,15/07/2019,3,362.54932,21.3,0.66192,32.85802,8.83542,0,0,553.28
28,15/07/2019,3,249.12828,0,0.66033,23.53071,11.731,1,0,565.18
29,15/07/2019,3,288.3576,0,0.66327,33.09081,13.70892,1,0,546.25
7,15/07/2019,3,279.18076,0,0.61236,33.50923,15.55321,1,0,495.38
6,15/07/2019,3,305.81549,13.89,0.61804,32.66355,13.87598,0,0,634.25
30,15/07/2019,3,343.45499,12.33,0.55035,29.66688,10.33122,0,0,614.59
31,15/07/2019,3,270.83072,15.18,0.56753,23.62235,8.76799,0,0,654.73
39,15/07/2019,3,269.83447,0,0.67467,28.4796,12.74274,0,1,766.48
9,15/07/2019,3,272.69485,0,0.65414,32.0477,14.18039,0,0,435.77
10,15/07/2019,3,227.52812,0,0.59508,21.57931,11.82671,1,2,605.82
11,15/07/2019,3,264.37094,0,0.66589,24.33917,11.09869,2,0,760.58
12,15/07/2019,3,306.94806,0,0.56984,32.22216,13.81741,0,0,643.47
35,15/07/2019,3,308.16046,2.11,0.62179,30.3676,11.48509,4,2,483.79
33,15/07/2019,3,342.43362,23.7,0.6219,31.64919,10.60632,0,0,366.47
34,15/07/2019,3,315.81171,0,0.65392,37.95682,13.07161,0,0,572.23
13,15/07/2019,3,277.43848,0,0.63781,27.19476,11.20137,2,3,566.86
14,15/07/2019,3,294.83438,5.48,0.65326,24.19159,8.50159,0,0,602.28
15,15/07/2019,3,294.08701,0,0.67352,27.10416,10.03055,0,0,584.89
16,15/07/2019,3,266.21225,0,0.64197,27.92826,13.68576,3,2,538.1
36,15/07/2019,3,303.715,4.81,0.75822,29.71528,9.71732,2,1,573.57
17,15/07/2019,3,282.53394,0,0.57975,30.31273,11.86916,1,2,561.35
19,15/07/2019,3,349.79535,0,0.64846,32.66548,9.71587,0,0,685.45
18,15/07/2019,3,300.73911,1.89,0.63049,30.43391,12.35233,0,0,603.35
20,15/07/2019,3,281.65631,8.06,0.61396,29.66004,11.85365,0,0,676.59
37,15/07/2019,3,276.55286,0,0.57726,24.14704,11.4765,0,0,375.13
38,15/07/2019,3,354.43234,8.72,0.71045,34.84719,10.70006,0,0,551.13
22,15/07/2019,3,301.50403,0,0.63615,34.59014,10.54797,0,0,606.3
23,15/07/2019,3,247.68433,13.31,0.5396,25.32985,12.72878,0,1,475.91
24,17/07/2019,1,333.53256,0,0.61958,33.84562,14.27614,0,0,681.46
25,17/07/2019,1,417.08154,37.01,0.63521,39.40761,11.38791,0,0,746.41
1,17/07/2019,1,334.35547,1.37,0.61759,35.18027,13.79788,0,0,1073.28
2,17/07/2019,1,290.06451,8.14,0.5859,31.1811,13.32323,3,1,375.96
3,17/07/2019,1,243.86638,0,0.46384,32.8957,15.01744,0,3,715.83
26,17/07/2019,1,465.44254,0,0.71541,45.99929,8.53575,0,0,584.67
4,17/07/2019,1,342.38248,5.34,0.57038,43.15763,14.49265,0,0,1059.84
5,17/07/2019,1,332.82278,21.79,0.58281,33.81795,13.98926,0,0,1056.74
27,17/07/2019,1,400.56799,0,0.65879,39.20164,9.66107,0,0,814.91
28,17/07/2019,1,273.53635,0,0.63643,26.58365,11.62991,1,1,836.64
29,17/07/2019,1,311.12387,6.65,0.56007,34.49554,11.7793,2,0,599.67
7,17/07/2019,1,313.00992,1.48,0.56143,35.07177,12.89,1,0,618.49
6,17/07/2019,1,380.74896,0,0.6377,42.86964,14.076,0,0,907.94
30,17/07/2019,1,449.60098,20.19,0.6835,41.31236,11.04852,0,0,1075.34
31,17/07/2019,1,272.5509,6.87,0.57439,23.06935,9.51569,0,0,345.72
39,17/07/2019,1,296.88605,0,0.60869,31.00123,11.52063,1,1,887.79
9,17/07/2019,1,286.66504,0,0.48084,31.09687,13.97765,0,0,518.41
11,17/07/2019,1,243.57285,0,0.50462,23.48927,12.81589,1,1,727.04
12,17/07/2019,1,336.10046,0,0.63622,39.94939,20.83408,0,0,872.29
33,17/07/2019,1,352.61963,6.46,0.57748,32.95993,10.44754,0,0,411.53
35,17/07/2019,1,368.35294,0.46,0.59542,36.67514,8.67421,3,1,669.12
34,17/07/2019,1,356.02917,0,0.58418,43.56569,11.41165,0,0,767.34
13,17/07/2019,1,242.18633,2.92,0.48534,22.00087,12.38499,5,0,225.99
14,17/07/2019,1,364.78555,0,0.65616,30.14589,11.18053,0,0,0
15,17/07/2019,1,334.92307,0,0.60833,28.4355,10.89708,0,0,1002.49
16,17/07/2019,1,307.22214,0,0.63301,31.04967,9.98012,2,3,560.36
36,17/07/2019,1,305.47888,18.04,0.56898,28.8357,9.1618,1,3,616.93
17,17/07/2019,1,321.88458,6.12,0.54791,31.18635,10.30856,1,2,751.28
19,17/07/2019,1,357.28787,2.38,0.61834,35.19464,12.783,0,0,1020.58
18,17/07/2019,1,369.56418,0,0.56549,37.07306,12.86693,0,0,758.1
20,17/07/2019,1,277.66797,7.47,0.57855,30.39461,14.69458,0,0,790.14
37,17/07/2019,1,342.87369,0,0.53196,29.57538,7.98048,4,1,710.62
38,17/07/2019,1,339.56586,0,0.55921,31.26951,9.6646,0,0,676.38
22,17/07/2019,1,333.27304,17.36,0.57008,33.28307,13.46835,0,0,1064.49
23,17/07/2019,1,251.1718,0,0.52713,26.70503,15.18118,2,1,606.67
24,17/07/2019,2,383.44119,6.66,0.65655,37.36635,12.45602,0,0,701.01
25,17/07/2019,2,409.56342,0,0.65536,39.97645,13.09843,0,0,687.96
1,17/07/2019,2,319.547,0,0.63848,33.52335,15.62148,0,0,969.57
2,17/07/2019,2,337.4939,0,0.51877,35.11564,15.44891,2,0,530.43
3,17/07/2019,2,306.61185,11.81,0.55406,35.7709,15.90349,3,2,690.44
